frame,track_id,x1,y1,x2,y2,conf,finger
356,49,872,1483,926,1537,0.58,Thumb
356,56,725,1418,769,1457,0.58,Index
357,49,873,1483,924,1534,0.36,Thumb
357,56,725,1418,769,1456,0.36,Thumb
358,49,873,1483,921,1532,0.36,Thumb
358,56,726,1417,768,1456,0.36,Thumb
359,49,874,1483,919,1529,0.36,Thumb
359,56,726,1417,768,1455,0.36,Thumb
360,49,874,1483,916,1526,0.31,Thumb
360,56,726,1417,767,1454,0.31,Thumb
361,49,874,1484,914,1524,0.31,Thumb
361,56,726,1417,767,1453,0.31,Thumb
362,49,875,1484,911,1521,0.31,Thumb
362,56,727,1417,767,1452,0.31,Thumb
363,49,875,1484,909,1518,0.31,Thumb
363,56,727,1416,766,1452,0.31,Thumb
364,49,875,1484,906,1516,0.31,Thumb
364,56,727,1416,766,1451,0.31,Thumb
365,49,876,1485,904,1513,0.31,Thumb
365,56,727,1416,766,1450,0.31,Thumb
366,49,876,1485,902,1510,0.31,Thumb
388,65,782,1487,874,1549,0.65,Thumb
389,65,776,1484,874,1551,0.67,Thumb
390,65,772,1483,868,1548,0.73,Thumb
391,65,767,1477,866,1545,0.71,Thumb
392,65,765,1476,863,1543,0.37,Thumb
393,65,765,1476,859,1540,0.62,Thumb
394,65,762,1472,856,1535,0.73,Thumb
395,65,757,1468,851,1531,0.70,Thumb
396,65,754,1467,849,1531,0.76,Thumb
397,65,755,1470,844,1529,0.78,Thumb
398,65,752,1470,845,1531,0.80,Thumb
399,65,750,1469,843,1529,0.83,Thumb
400,65,749,1469,843,1529,0.80,Thumb
401,65,746,1469,844,1532,0.77,Thumb
402,65,740,1469,849,1540,0.72,Thumb
403,65,734,1470,853,1547,0.70,Thumb
404,65,729,1470,855,1554,0.67,Thumb
405,65,730,1474,851,1556,0.70,Ring
406,65,732,1479,845,1555,0.78,Ring
407,65,734,1481,840,1552,0.80,Ring
408,65,733,1482,839,1553,0.80,Ring
409,65,732,1483,838,1554,0.79,Ring
410,65,732,1483,837,1554,0.75,Ring
411,65,728,1483,835,1555,0.76,Ring
412,65,726,1483,823,1547,0.76,Ring
413,65,722,1483,818,1547,0.78,Middle
414,65,715,1482,818,1551,0.75,Middle
415,65,708,1482,817,1555,0.69,Middle
416,65,702,1480,816,1557,0.62,Middle
417,65,704,1481,807,1550,0.63,Middle
418,65,709,1481,797,1539,0.66,Middle
419,65,701,1479,797,1541,0.62,Middle
420,65,695,1480,793,1544,0.58,Middle
421,65,688,1482,787,1547,0.63,Middle
422,65,680,1486,782,1553,0.51,Middle
423,65,668,1483,782,1558,0.45,Middle
424,65,666,1485,775,1558,0.58,Middle
425,65,665,1489,770,1559,0.64,Middle
426,65,665,1494,766,1560,0.69,Middle
427,65,664,1497,762,1562,0.53,Middle
428,65,661,1502,754,1563,0.52,Middle
429,65,657,1504,750,1564,0.52,Middle
430,65,654,1506,745,1565,0.52,Middle
431,65,650,1507,741,1566,0.52,Middle
432,65,647,1509,736,1567,0.52,Middle
433,65,643,1511,732,1569,0.52,Middle
434,65,640,1513,727,1570,0.52,Middle
435,65,636,1515,723,1571,0.52,Middle
436,65,632,1516,719,1572,0.52,Middle
437,65,629,1518,714,1573,0.52,Middle
438,65,625,1520,710,1575,0.52,Middle
463,71,419,1729,519,1796,0.37,Thumb
464,71,414,1729,514,1797,0.37,Thumb
465,71,408,1730,509,1798,0.37,Thumb
466,71,402,1730,504,1799,0.33,Thumb
